spam_words_count 624
other_words_count 608
spam_texts_count 15
other_texts_count 15
сайт 3 8
исполняться 1 0
год 1 0
отправить 1 0
это 5 7
сообщение 1 0
друг 1 1
ты 7 0
появиться 1 0
золотой 1 0
рамочка 1 0
разноцветный 1 0
смайлик 1 0
также 1 0
быть 7 8
знать 1 0
кто 2 0
заходить 3 0
на 14 17
страница 1 2
письмо 0 3
русский 0 2
язык 0 2
обычно 0 1
включать 0 1
себя 1 1
стандартный 0 2
фраза 0 1
формулировка 0 2
часть 2 3
ваш 1 2
курс 1 1
посвятить 0 1
написание 0 1
весь 5 6
жанр 0 1
здесь 1 1
мы 5 6
привести 0 1
несколько 2 1
пример 0 3
письменный 0 1
два 0 2
добрый 0 10
вечер 0 3
сортировка 0 2
печь 0 4
возникать 0 1
проблема 0 2
некорректно 0 1
отображаться 0 3
таблица 0 1
описание 0 4
после 2 2
создание 0 1
копия 0 1
невозможно 0 1
выбрать 1 1
уже 3 3
загрузить 0 4
сервер 0 1
файл 0 1
документация 0 1
скачивать 0 1
загружать 0 2
они 2 5
по 7 15
новый 3 3
не 16 15
особо 0 1
рационально 0 1
повод 0 1
диск 0 2
я 4 3
ничего 3 5
удалить 1 3
получиться 1 1
так 3 5
как 1 3
иметь 0 1
доступ 0 2
ссылка 3 1
только 3 2
чтение 0 1
но 4 5
даже 0 2
полный 0 1
крайне 0 1
неудобно 0 1
простой 0 1
какой-нибудь 0 1
компьютер 0 1
где 0 1
подключить 0 1
синхронизация 0 2
найти 2 1
через 0 1
поиск 0 1
всё 9 4
папка 0 3
фото 0 5
разом 0 1
зарабатывать 4 0
добыча 1 0
топливо 2 0
выводить 1 0
реальный 1 0
деньга 4 0
если 2 1
хотеть 4 2
можно 7 1
вложить 5 0
что 12 7
бы 3 1
быстрый 2 0
продвигать 1 0
свой 5 0
прибыль 2 0
подарок 1 0
даваться 1 0
ток 2 0
один 2 0
заправка 3 0
поэтому 1 1
купить 2 0
мощный 1 0
накапливать 1 0
вложение 7 0
отыграть 1 0
потом 1 0
идти 1 0
плюс 1 0
любой 1 0
сумма 1 0
важно 1 0
чем 1 0
большой 2 0
тем 1 0
запрвок 1 0
без 3 0
прийтись 1 0
долгий 1 0
ждать 2 0
сдесить 1 0
от 3 2
тыс 3 0
до 2 0
день 4 7
пока 1 2
за 4 3
проходить 1 0
регестрироваться 2 0
пожалеть 1 0
семён 0 1
делать 2 4
нужно 1 4
ещё 3 4
из 3 1
гугл 0 2
проект 1 1
теперь 2 2
место 0 4
тут 0 1
занимать 0 1
пк 0 1
при 1 2
здравствуйте 2 0
вы 12 5
слышать 1 0
система 5 3
флагман 1 0
она 1 0
узнать 2 0
сегодня 1 0
стать 1 0
интересно 1 0
предлагать 1 2
создать 2 0
пассивный 1 0
доход 2 0
рубль 2 1
ежемесячно 1 0
самый 2 0
интересный 1 0
требовать 1 1
абсолютно 1 0
никакой 1 0
продажа 1 0
принцип 1 0
искать 1 0
давно 2 1
почему 1 0
же 2 1
попробовать 3 0
никто 1 0
продавать 1 0
вкладывать 1 0
кровный 1 0
вполне 1 1
подходить 1 0
поделить 1 0
уровень 3 0
выполнять 1 0
задание 1 3
который 2 2
получать 4 0
пароль 1 1
следующий 1 0
двигаться 1 0
цифра 1 0
понравиться 1 0
то 1 0
приглашать 2 0
павел 0 2
геннадиевич 0 2
извиняться 0 1
надолго 0 1
пропасть 0 1
сессия 0 1
много 1 2
учёба 0 1
ролик 0 2
компания 1 3
закалочник 0 1
доделать 0 1
видимо 0 1
сменить 0 1
ютуб-аккаунт 0 1
обложка 0 1
видео 0 4
компнии 0 1
обновить 0 1
показаться 0 1
там 0 1
отсортировать 0 1
чтобы 1 2
сломать 0 1
трогать 0 1
вносить 0 2
правка 0 2
просить 0 2
прислать 0 1
акт 1 1
сверка 0 1
набирать 1 0
человек 2 0
для 5 1
работа 3 3
интернет 2 0
дом 1 0
занятость 1 0
2-3 1 0
час 1 0
хороший 4 1
постоянно 2 0
расти 1 0
надо 1 0
поработать 1 0
нужный 2 1
обучение 1 0
бесплатный 2 0
процесс 1 0
испытательный 1 0
срок 2 0
месяц 1 0
вопрос 1 1
писать 1 1
личка 1 0
сожаление 0 1
разработчик 0 1
мочь 1 1
ответить 0 2
этот 0 2
достаточно 0 1
разрабатываться 0 1
вероятно 0 2
такой 1 2
функционал 0 2
считаться 0 1
расширить 0 1
он 1 6
предусмотреть 0 1
подкрепить 0 1
кодовый 0 1
база 0 1
девочка 1 0
долго 1 0
читать 1 1
заработок 3 0
сложно 1 0
поверить 1 0
правда 1 0
проверить 1 0
команда 1 0
честно 1 0
вериться 1 0
давать 2 2
заработать 2 0
вместе 2 0
структура 1 0
объяснить 1 0
требоваться 1 0
мама 1 0
декрет 1 0
дополнительный 2 0
никогда 1 0
помешать 1 0
передавать 0 1
информация 0 1
сотртировка 0 1
просто 1 1
сделать 0 3
выйти 0 1
код 0 2
перевести 0 1
более 0 4
платформа 0 1
про 0 1
стоимость 0 3
заинтересовать 1 0
ежеминутный 1 0
изменение 1 2
счёт 1 0
очень 1 1
бояться 1 0
вот 1 1
регистрация 1 0
последний 0 1
неделя 0 2
мало 0 1
успеть 0 1
перенести 0 1
встреча 0 1
постараться 0 1
время 2 1
закончить 0 1
фотография 0 3
альбом 0 1
раз 0 1
создавать 0 1
подготовить 0 1
набросок 0 1
заставка 0 1
готовый 0 1
наш 1 1
открыться 1 0
автоимперия 1 0
лайта 1 0
евро 4 0
короткий 1 0
старт 1 0
вернуть 1 0
аккаунт 2 0
соответственно 1 0
мой 1 0
выплата 2 0
каждый 3 0
получение 1 0
есть 2 0
возможность 3 1
приглашение 1 0
лекция 0 1
переноситься 0 1
четверг 0 1
аудитория 0 1
обследование 1 0
медецинский 1 0
центр 1 1
клизма 1 0
приказ 0 1
ректор 0 1
обязывать 0 1
носить 0 1
маска 0 1
соблюдать 0 1
дистанция 0 1
скорее 2 0
переходить 1 0
пункт 1 0
токен 1 0
говорить 0 1
сложный 0 1
задача 0 2
текущий 0 1
переделать 0 1
больший 0 2
реализация 0 1
изначально 0 1
закладываться 0 1
поставить 0 2
специалист 0 1
больничный 0 1
надеяться 0 2
конец 0 1
смочь 0 1
детально 0 1
изучить 0 1
предложить 0 1
какой-то 0 1
вариант 0 6
прощение 0 1
длительный 0 1
ожидание 0 1
рекомендация 1 0
группа 1 0
юмор 1 0
вид 4 0
прикол 1 0
утро 0 1
хорошо 0 1
ребята 0 1
просьба 0 1
внимательно 0 1
лабораторный 0 3
сомневаться 0 1
спрашивать 0 1
должный 0 1
выполнить 0 1
стоматология 0 1
выбор 0 1
желательно 0 1
порядковый 0 1
номер 0 1
дальнейший 0 1
затягивать 0 1
с 0 1
сдача 0 1
изучать 1 0
английский 1 0
уникальный 4 0
предложение 2 0
впервые 1 0
история 1 0
сервис 2 0
премиум 3 0
навсегда 1 0
дешёвый 1 0
обычный 1 0
цена 1 0
разработать 0 1
сейчас 0 2
практически 0 1
поддерживаться 0 1
подумать 0 1
перенос 0 2
дать 0 1
быстро 0 1
дёшево 0 1
удобный 0 1
админк 0 1
помочь 0 1
разумеется 0 1
здравие 1 0
желать 1 0
танкист 2 0
календарь 1 0
понедельник 1 0
магазин 3 0
прийти 1 0
чёрный 3 0
пятница 3 0
специальный 1 0
разбить 1 0
обратить 1 1
внимание 1 1
последующий 1 0
добавляться 1 0
предыдущий 1 0
заменять 1 0
ассортимент 1 0
акционный 1 0
набор 1 0
увеличиваться 1 0
ежедневно 1 0
ноябрь 2 0
полностью 1 0
товар 2 0
скидка 1 0
смотреть 1 0
забывать 1 0
проверять 1 0
обновление 1 0
упустить 2 0
выгодно 1 0
затариться 1 0
действительно 0 1
что-то 0 2
непонятный 0 1
менеджер 0 1
менять 0 1
завтра 0 1
уточнить 0 1
другой 0 1
модель 0 1
в 0 2
браузер 0 2
навигация 0 1
галерея 0 3
прежний 0 1
яндекс 0 3
стрелка 0 1
нет 0 1
открытие 0 1
действительный 0 1
количество 0 2
хром 0 2
мозил 0 1
почему-то 0 1
дублироваться 0 1
скрин 0 1
слева 0 1
справа 0 1
двойной 1 0
гигабайт 1 0
киберпонедельник 1 0
годовой 1 0
тариф 1 0
подарить 1 0
являться 0 1
представитель 0 1
интерсэлт 0 1
внести 0 2
некоторый 0 1
продукт 0 1
изменить 0 1
карусель 0 1
компактный 0 1
дизайн 0 1
первый 0 3
выровнять 0 1
заголовок 0 2
поднять 0 1
оно 0 1
начинаться 0 1
вровень 0 1
желаемый 0 1
результат 0 1
сориентировать 0 1
возможно 0 1
ли 0 1
сколько 0 1
обойтись 0 1
пара 1 0
клик 1 0
мобильный 1 0
приложение 2 0
около 2 0
заказать 1 0
такси 1 0
или 1 0
доставка 1 0
еда 1 0
прогноз 1 0
погода 1 0
валюта 1 0
пользоваться 1 0
прямо 1 0
дополнительно 1 0
устанавливать 1 0
смартфон 1 0
доработка 0 3
всегда 0 1
вне 0 1
зависимость 0 1
тот 0 1
какой 0 1
очередь 0 1
случай 0 1
составить 0 2
самостоятельно 0 1
позиция 0 1
каталог 0 1
позволять 0 1
вручную 0 1
остаться 3 0
юбилейный 5 0
монета 3 0
тогда 1 0
приобрести 1 0
элемент 2 0
внешний 3 0
танк 3 0
торопиться 1 0
работать 1 0
октябрь 1 0
списать 1 0
твой 1 0
собрать 1 0
пять 1 0
собственный 1 0
эксклюзивный 1 0
стиль 2 0
ведь 1 0
эффектный 1 0
декали 1 0
боевой 1 0
машина 1 0
особенный 1 0
помогать 1 0
выделиться 1 0
поле 1 0
бой 1 0
эмблема 1 0
добавлять 1 0
изюминка 1 0
надпись 1 0
основать 1 0
яркий 1 0
момент 1 0
игра 1 0
2d-стиль 1 0
серия 1 0
топографический 1 0
целый 1 0
немного 1 0
решать 1 0
обменять 1 0
